,content,class,species,filename
0,LeafScan,3962,Syringa vulgaris L.,91874.jpg
1,LeafScan,4721,Crataegus monogyna Jacq.,60789.jpg
2,LeafScan,5634,Celtis australis L.,84247.jpg
3,LeafScan,4763,Crataegus germanica (L.) Kuntze,101593.jpg
4,LeafScan,3958,Phillyrea angustifolia L.,103931.jpg
5,LeafScan,4843,Prunus padus L.,13610.jpg
6,LeafScan,2648,Arbutus unedo L.,59645.jpg
7,LeafScan,3958,Phillyrea angustifolia L.,30455.jpg
8,LeafScan,2648,Arbutus unedo L.,87485.jpg
9,LeafScan,5131,Populus tremula L.,97810.jpg
10,LeafScan,14872,Ulmus minor Mill.,31153.jpg
11,LeafScan,3124,Robinia pseudoacacia L.,79177.jpg
12,LeafScan,4460,Anemone hepatica L.,59637.jpg
13,LeafScan,3942,Fraxinus angustifolia Vahl,81666.jpg
14,LeafScan,4762,Malus sylvestris Mill.,3927.jpg
15,LeafScan,4719,Crataegus laevigata (Poir.) DC.,39393.jpg
16,LeafScan,14872,Ulmus minor Mill.,104807.jpg
17,LeafScan,329,Hedera helix L.,112606.jpg
18,LeafScan,5124,Populus alba L.,106006.jpg
19,LeafScan,44462,Pittosporum tenuifolium Gaertn.,25684.jpg
20,LeafScan,29939,Alnus cordata (Loisel.) Duby,36275.jpg
21,LeafScan,1842,Buxus sempervirens L.,10114.jpg
22,LeafScan,44462,Pittosporum tenuifolium Gaertn.,58802.jpg
23,LeafScan,3797,Liriodendron tulipifera L.,65789.jpg
24,LeafScan,4838,Prunus dulcis (Mill.) D.A.Webb,73703.jpg
25,LeafScan,5602,Daphne cneorum L.,87891.jpg
26,LeafScan,1973,Viburnum tinus L.,30461.jpg
27,LeafScan,5602,Daphne cneorum L.,104322.jpg
28,LeafScan,5124,Populus alba L.,52921.jpg
29,LeafScan,1842,Buxus sempervirens L.,60012.jpg
30,LeafScan,42933,Photinia serrulata Lindl.,11500.jpg
31,LeafScan,5124,Populus alba L.,21746.jpg
32,LeafScan,3124,Robinia pseudoacacia L.,97070.jpg
33,LeafScan,2689,Euphorbia characias L.,38054.jpg
34,LeafScan,6367,Ruscus aculeatus L.,94514.jpg
35,LeafScan,7305,Juniperus oxycedrus L.,16383.jpg
36,LeafScan,7315,Ginkgo biloba L.,102799.jpg
37,LeafScan,3956,Olea europaea L.,107633.jpg
38,LeafScan,4721,Crataegus monogyna Jacq.,35657.jpg
39,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,19044.jpg
40,LeafScan,3124,Robinia pseudoacacia L.,8071.jpg
41,LeafScan,4721,Crataegus monogyna Jacq.,89726.jpg
42,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,97831.jpg
43,LeafScan,3797,Liriodendron tulipifera L.,57703.jpg
44,LeafScan,30040,Cercis siliquastrum L.,44980.jpg
45,LeafScan,5148,Salix caprea L.,112413.jpg
46,LeafScan,14872,Ulmus minor Mill.,84598.jpg
47,LeafScan,3750,Laurus nobilis L.,43206.jpg
48,LeafScan,14803,Tilia platyphyllos Scop.,105168.jpg
49,LeafScan,6367,Ruscus aculeatus L.,56848.jpg
50,LeafScan,4074,Pittosporum tobira (Thunb.) W.T.Aiton,101892.jpg
51,LeafScan,1837,Buddleja davidii Franch.,43629.jpg
52,LeafScan,5128,Populus nigra L.,30368.jpg
53,LeafScan,4074,Pittosporum tobira (Thunb.) W.T.Aiton,24843.jpg
54,LeafScan,1329,Corylus avellana L.,88856.jpg
55,LeafScan,3283,Quercus coccifera L.,106037.jpg
56,LeafScan,14900,Viburnum rhytidophyllum Hemsl. ex F.B.Forbes & Hemsl.,18672.jpg
57,LeafScan,7305,Juniperus oxycedrus L.,40690.jpg
58,LeafScan,4714,Crataegus azarolus L.,25317.jpg
59,LeafScan,3958,Phillyrea angustifolia L.,19238.jpg
60,LeafScan,5474,Verbascum blattaria L.,21462.jpg
61,LeafScan,329,Hedera helix L.,44192.jpg
62,LeafScan,3798,Magnolia grandiflora L.,83282.jpg
63,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,45206.jpg
64,LeafScan,5128,Populus nigra L.,7088.jpg
65,LeafScan,4990,Sorbus domestica L.,106851.jpg
66,LeafScan,4379,Punica granatum L.,5842.jpg
67,LeafScan,5156,Salix fragilis L.,71383.jpg
68,LeafScan,5128,Populus nigra L.,96956.jpg
69,LeafScan,3956,Olea europaea L.,87629.jpg
70,LeafScan,4074,Pittosporum tobira (Thunb.) W.T.Aiton,102565.jpg
71,LeafScan,1325,Betula pendula Roth,103705.jpg
72,LeafScan,4719,Crataegus laevigata (Poir.) DC.,106993.jpg
73,LeafScan,329,Hedera helix L.,101662.jpg
74,LeafScan,30325,Rosmarinus officinalis L.,9744.jpg
75,LeafScan,4109,Platanus x hispanica Mill. ex Münchh.,86390.jpg
